user_message,bot_response,label,language,user_topic,bot_topic,similarity_score
Refund kab milega mera order ka?,Aapka delivery address successfully update ho gaya hai.,INTENT_MISMATCH,hinglish,refund,delivery,0.3747
Order abhi tak deliver nahi hua yaar.,"Payment failed ho gaya tha, please dubara try karein.",INTENT_MISMATCH,hinglish,delivery,payment,0.4746
Mera account login nahi ho raha.,Aapka refund 5-7 working days me process ho jayega.,INTENT_MISMATCH,hinglish,account,refund,0.4647
Product ka size change karna hai.,Order cancel karne ke liye My Orders me jaake cancel option select karein.,INTENT_MISMATCH,hinglish,product,cancellation,0.2786
"Maine order cancel kiya tha, status kya hai?",Aapka payment successfully receive ho gaya hai.,INTENT_MISMATCH,hinglish,cancellation,payment,0.2854
Refund abhi tak credit nahi hua.,"Sorry for delay, refund 3 working days me account me aa jayega.",CORRECT,hinglish,refund,refund,0.5742
Mera parcel kab tak deliver hoga?,Aapka order kal evening tak deliver ho jayega.,CORRECT,hinglish,delivery,delivery,0.6703
UPI payment baar baar fail ho raha hai.,Please app restart karke payment dubara try karein.,CORRECT,hinglish,payment,payment,0.4722
Account ka password reset kaise karu?,Forgot Password pe click karke नया password set kar sakte ho.,CORRECT,hinglish,account,account,0.8008
Ye product return ho sakta hai kya?,"Haan, product delivery ke 7 din ke andar return kar sakte ho.",CORRECT,hinglish,product,product,0.5191
मेरा रिफंड अभी तक नहीं आया।,आपका ऑर्डर कल तक डिलीवर हो जाएगा।,INTENT_MISMATCH,hindi,refund,delivery,0.3003
मेरा ऑर्डर कब पहुंचेगा?,भुगतान असफल होने पर पैसा 5 दिन में वापस आ जाता है।,INTENT_MISMATCH,hindi,delivery,payment,0.287
पैसे कट गए लेकिन ऑर्डर नहीं बना।,आप अपना पासवर्ड बदलकर फिर से लॉगिन करें।,INTENT_MISMATCH,hindi,payment,account,0.1289
मेरा अकाउंट लॉगिन नहीं हो रहा।,यह उत्पाद अभी स्टॉक में उपलब्ध है।,INTENT_MISMATCH,hindi,account,product,0.0811
मुझे यह ऑर्डर रद्द करना है।,आपका रिफंड प्रक्रिया में है और जल्द मिल जाएगा।,INTENT_MISMATCH,hindi,cancellation,refund,0.3758
मेरा रिफंड कब तक मिलेगा?,आपका रिफंड स्वीकृत हो गया है और 5 कार्यदिवस में खाते में आ जाएगा।,CORRECT,hindi,refund,refund,0.7104
डिलीवरी में इतनी देर क्यों हो रही है?,"क्षमा करें, आपका पार्सल रास्ते में है और कल तक पहुंच जाएगा।",CORRECT,hindi,delivery,delivery,0.4895
भुगतान हो गया लेकिन ऑर्डर दिखाई नहीं दे रहा।,यदि ऑर्डर नहीं बना है तो राशि जल्द ही वापस कर दी जाएगी।,CORRECT,hindi,payment,payment,0.6572
मैं अपना अकाउंट पासवर्ड रीसेट नहीं कर पा रहा हूँ।,'पासवर्ड भूल गए' विकल्प चुनकर नया पासवर्ड सेट करें।,CORRECT,hindi,account,account,0.6614
मुझे यह ऑर्डर रद्द करना है।,आपका ऑर्डर सफलतापूर्वक रद्द कर दिया गया है।,CORRECT,hindi,cancellation,cancellation,0.6583
నా రిఫండ్ ఇంకా రాలేదు.,మీ ఆర్డర్ రేపటికి డెలివరీ అవుతుంది.,INTENT_MISMATCH,telugu,refund,delivery,0.4184
నా ఆర్డర్ ఎప్పుడు వస్తుంది?,చెల్లింపు విఫలమైతే డబ్బు 5 రోజుల్లో తిరిగి వస్తుంది.,INTENT_MISMATCH,telugu,delivery,payment,0.3464
డబ్బులు కట్ అయ్యాయి కానీ ఆర్డర్ పెట్టలేదు.,మీ అకౌంట్ పాస్‌వర్డ్ మార్చి మళ్లీ లాగిన్ అవ్వండి.,INTENT_MISMATCH,telugu,payment,account,0.3332
నా అకౌంట్ లాగిన్ కావడం లేదు.,ఈ ఉత్పత్తి ప్రస్తుతం స్టాక్‌లో ఉంది.,INTENT_MISMATCH,telugu,account,product,0.3378
ఈ ఆర్డర్ రద్దు చేయాలి.,మీ రిఫండ్ ఇప్పటికే ప్రాసెస్‌లో ఉంది.,INTENT_MISMATCH,telugu,cancellation,refund,0.3667
నా రిఫండ్ ఎప్పుడు వస్తుంది?,"మీ రిఫండ్ ఆమోదించబడింది, 5 పని రోజులలో ఖాతాలో జమ అవుతుంది.",CORRECT,telugu,refund,refund,0.4071
డెలివరీ ఎందుకు ఆలస్యం అవుతోంది?,"క్షమించండి, మీ పార్సెల్ రవాణాలో ఉంది మరియు రేపటికి చేరుతుంది.",CORRECT,telugu,delivery,delivery,0.2967
చెల్లింపు అయ్యింది కానీ ఆర్డర్ కనిపించడం లేదు.,ఆర్డర్ సృష్టించబడకపోతే డబ్బు త్వరలో తిరిగి జమ అవుతుంది.,CORRECT,telugu,payment,payment,0.5686
నేను నా అకౌంట్ పాస్‌వర్డ్ రీసెట్ చేయలేకపోతున్నాను.,'పాస్‌వర్డ్ మర్చిపోయారా' ఎంపికను ఉపయోగించి కొత్త పాస్‌వర్డ్ సెట్ చేయండి.,CORRECT,telugu,account,account,0.3519
ఈ ఆర్డర్ రద్దు చేయాలి.,మీ ఆర్డర్ విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation,0.7168
I still haven't received my refund amount.,Your package has already been shipped and will reach soon.,INTENT_MISMATCH,english,refund,delivery,0.0438
Can you tell me the delivery status?,Please check if the payment was completed successfully.,INTENT_MISMATCH,english,delivery,payment,0.4467
My card was charged twice for one order.,You can update your email address from account settings.,INTENT_MISMATCH,english,payment,account,0.1917
I cannot access my account anymore.,This product comes with a one-year warranty.,INTENT_MISMATCH,english,account,product,0.1534
Please cancel my recent purchase.,Your refund request has been approved already.,INTENT_MISMATCH,english,cancellation,refund,0.3625
The refund is taking too long.,We have initiated the refund and it should reflect within 3 business days.,CORRECT,english,refund,refund,0.4217
My parcel has not arrived yet.,Your shipment is delayed due to weather and will arrive shortly.,CORRECT,english,delivery,delivery,0.6024
The payment failed but money got deducted.,The deducted amount will be reversed automatically within a few days.,CORRECT,english,payment,payment,0.438
I forgot my account password.,Use the password recovery option to create a new password.,CORRECT,english,account,account,0.5483
I changed my mind and want to cancel the item.,Your cancellation request has been processed successfully.,CORRECT,english,cancellation,cancellation,0.3933
Na refund inka account lo padaledu.,Mee order repu delivery avtundi sir.,INTENT_MISMATCH,tinglish,refund,delivery,0.2978
Order eppudu reach avtundi?,Payment fail ayite amount 5 rojullo return avtundi.,INTENT_MISMATCH,tinglish,delivery,payment,0.4117
Money deduct ayyindi kani order place avvaledu.,Mee account password reset chesi malli login avvandi.,INTENT_MISMATCH,tinglish,payment,account,0.246
Nenu account login cheyalekapothunna.,Ee product ippudu stock lo available undi.,INTENT_MISMATCH,tinglish,account,product,0.2231
Ee order cancel cheyyali.,Mee refund already process lo undi.,INTENT_MISMATCH,tinglish,cancellation,refund,0.3216
Na refund status cheppandi.,"Refund approve ayyindi, 3-5 working days lo credit avtundi.",CORRECT,tinglish,refund,refund,0.522
Delivery chala late avtundi enduku?,"Sorry sir, parcel transit lo undi mariyu tondaraga deliver chestam.",CORRECT,tinglish,delivery,delivery,0.6418
UPI payment successful kani order kanipinchadam ledu.,Order create kakapothe amount automatic ga reverse avtundi.,CORRECT,tinglish,payment,payment,0.4263
Na account password marchipoya.,Forgot Password option use chesi kotha password set cheskondi.,CORRECT,tinglish,account,account,0.5866
Naku ee item cancel cheyyali.,Mee cancellation request successful ga complete ayyindi.,CORRECT,tinglish,cancellation,cancellation,0.5323
என் பணத்திருப்பு இன்னும் வரவில்லை.,உங்கள் ஆர்டர் நாளைக்கு டெலிவரி ஆகும்.,INTENT_MISMATCH,tamil,refund,delivery,0.3065
ஆர்டர் எப்போது வரும்?,பணம் செலுத்துதல் தோல்வியடைந்தால் தொகை 5 நாட்களில் திரும்ப வரும்.,INTENT_MISMATCH,tamil,delivery,payment,0.2369
பணம் கழிக்கப்பட்டது ஆனால் ஆர்டர் பதிவு ஆகவில்லை.,உங்கள் கணக்கு கடவுச்சொல்லை மாற்றி மீண்டும் உள்நுழையுங்கள்.,INTENT_MISMATCH,tamil,payment,account,0.2919
என் கணக்கில் உள்நுழைய முடியவில்லை.,இந்த தயாரிப்பு தற்போது கையிருப்பில் உள்ளது.,INTENT_MISMATCH,tamil,account,product,-0.0123
