user_message,bot_response,label,language,user_topic,bot_topic
Refund kab milega mera order ka?,Aapka delivery address successfully update ho gaya hai.,INTENT_MISMATCH,hinglish,refund,delivery
Order abhi tak deliver nahi hua yaar.,"Payment failed ho gaya tha, please dubara try karein.",INTENT_MISMATCH,hinglish,delivery,payment
Mera account login nahi ho raha.,Aapka refund 5-7 working days me process ho jayega.,INTENT_MISMATCH,hinglish,account,refund
Product ka size change karna hai.,Order cancel karne ke liye My Orders me jaake cancel option select karein.,INTENT_MISMATCH,hinglish,product,cancellation
"Maine order cancel kiya tha, status kya hai?",Aapka payment successfully receive ho gaya hai.,INTENT_MISMATCH,hinglish,cancellation,payment
Refund abhi tak credit nahi hua.,"Sorry for delay, refund 3 working days me account me aa jayega.",CORRECT,hinglish,refund,refund
Mera parcel kab tak deliver hoga?,Aapka order kal evening tak deliver ho jayega.,CORRECT,hinglish,delivery,delivery
UPI payment baar baar fail ho raha hai.,Please app restart karke payment dubara try karein.,CORRECT,hinglish,payment,payment
Account ka password reset kaise karu?,Forgot Password pe click karke नया password set kar sakte ho.,CORRECT,hinglish,account,account
Ye product return ho sakta hai kya?,"Haan, product delivery ke 7 din ke andar return kar sakte ho.",CORRECT,hinglish,product,product
मेरा रिफंड अभी तक नहीं आया।,आपका ऑर्डर कल तक डिलीवर हो जाएगा।,INTENT_MISMATCH,hindi,refund,delivery
मेरा ऑर्डर कब पहुंचेगा?,भुगतान असफल होने पर पैसा 5 दिन में वापस आ जाता है।,INTENT_MISMATCH,hindi,delivery,payment
पैसे कट गए लेकिन ऑर्डर नहीं बना।,आप अपना पासवर्ड बदलकर फिर से लॉगिन करें।,INTENT_MISMATCH,hindi,payment,account
मेरा अकाउंट लॉगिन नहीं हो रहा।,यह उत्पाद अभी स्टॉक में उपलब्ध है।,INTENT_MISMATCH,hindi,account,product
मुझे यह ऑर्डर रद्द करना है।,आपका रिफंड प्रक्रिया में है और जल्द मिल जाएगा।,INTENT_MISMATCH,hindi,cancellation,refund
मेरा रिफंड कब तक मिलेगा?,आपका रिफंड स्वीकृत हो गया है और 5 कार्यदिवस में खाते में आ जाएगा।,CORRECT,hindi,refund,refund
डिलीवरी में इतनी देर क्यों हो रही है?,"क्षमा करें, आपका पार्सल रास्ते में है और कल तक पहुंच जाएगा।",CORRECT,hindi,delivery,delivery
भुगतान हो गया लेकिन ऑर्डर दिखाई नहीं दे रहा।,यदि ऑर्डर नहीं बना है तो राशि जल्द ही वापस कर दी जाएगी।,CORRECT,hindi,payment,payment
मैं अपना अकाउंट पासवर्ड रीसेट नहीं कर पा रहा हूँ।,'पासवर्ड भूल गए' विकल्प चुनकर नया पासवर्ड सेट करें।,CORRECT,hindi,account,account
मुझे यह ऑर्डर रद्द करना है।,आपका ऑर्डर सफलतापूर्वक रद्द कर दिया गया है।,CORRECT,hindi,cancellation,cancellation
నా రిఫండ్ ఇంకా రాలేదు.,మీ ఆర్డర్ రేపటికి డెలివరీ అవుతుంది.,INTENT_MISMATCH,telugu,refund,delivery
నా ఆర్డర్ ఎప్పుడు వస్తుంది?,చెల్లింపు విఫలమైతే డబ్బు 5 రోజుల్లో తిరిగి వస్తుంది.,INTENT_MISMATCH,telugu,delivery,payment
డబ్బులు కట్ అయ్యాయి కానీ ఆర్డర్ పెట్టలేదు.,మీ అకౌంట్ పాస్‌వర్డ్ మార్చి మళ్లీ లాగిన్ అవ్వండి.,INTENT_MISMATCH,telugu,payment,account
నా అకౌంట్ లాగిన్ కావడం లేదు.,ఈ ఉత్పత్తి ప్రస్తుతం స్టాక్‌లో ఉంది.,INTENT_MISMATCH,telugu,account,product
ఈ ఆర్డర్ రద్దు చేయాలి.,మీ రిఫండ్ ఇప్పటికే ప్రాసెస్‌లో ఉంది.,INTENT_MISMATCH,telugu,cancellation,refund
నా రిఫండ్ ఎప్పుడు వస్తుంది?,"మీ రిఫండ్ ఆమోదించబడింది, 5 పని రోజులలో ఖాతాలో జమ అవుతుంది.",CORRECT,telugu,refund,refund
డెలివరీ ఎందుకు ఆలస్యం అవుతోంది?,"క్షమించండి, మీ పార్సెల్ రవాణాలో ఉంది మరియు రేపటికి చేరుతుంది.",CORRECT,telugu,delivery,delivery
చెల్లింపు అయ్యింది కానీ ఆర్డర్ కనిపించడం లేదు.,ఆర్డర్ సృష్టించబడకపోతే డబ్బు త్వరలో తిరిగి జమ అవుతుంది.,CORRECT,telugu,payment,payment
నేను నా అకౌంట్ పాస్‌వర్డ్ రీసెట్ చేయలేకపోతున్నాను.,'పాస్‌వర్డ్ మర్చిపోయారా' ఎంపికను ఉపయోగించి కొత్త పాస్‌వర్డ్ సెట్ చేయండి.,CORRECT,telugu,account,account
ఈ ఆర్డర్ రద్దు చేయాలి.,మీ ఆర్డర్ విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation
I still haven't received my refund amount.,Your package has already been shipped and will reach soon.,INTENT_MISMATCH,english,refund,delivery
Can you tell me the delivery status?,Please check if the payment was completed successfully.,INTENT_MISMATCH,english,delivery,payment
My card was charged twice for one order.,You can update your email address from account settings.,INTENT_MISMATCH,english,payment,account
I cannot access my account anymore.,This product comes with a one-year warranty.,INTENT_MISMATCH,english,account,product
Please cancel my recent purchase.,Your refund request has been approved already.,INTENT_MISMATCH,english,cancellation,refund
The refund is taking too long.,We have initiated the refund and it should reflect within 3 business days.,CORRECT,english,refund,refund
My parcel has not arrived yet.,Your shipment is delayed due to weather and will arrive shortly.,CORRECT,english,delivery,delivery
The payment failed but money got deducted.,The deducted amount will be reversed automatically within a few days.,CORRECT,english,payment,payment
I forgot my account password.,Use the password recovery option to create a new password.,CORRECT,english,account,account
I changed my mind and want to cancel the item.,Your cancellation request has been processed successfully.,CORRECT,english,cancellation,cancellation
